"Rank","Song","Artist","Year","Lyrics","Source"
"11","dont matter","akon","2007","  konvict konvict konvictoh oh oh oooh oh oh oh oh oh oooh oh ohnobody wanna see us together but it dont matter no cause i got you babe nobody wanna see us together but it dont matter no cause i got you babecause we gon fight oh yes we gon fight we gonna fight believe we gon fight we gonna fight fight for our right to love yeah right to love yeah nobody wanna see us together but it dont matter no cause i got younobody wanna see us together nobody thought that wed last forever i feel them hoping and praying things between us dont get better better   related           18 nontraditional yet perfect wedding songs       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           men steady coming after you you women steady coming after me me seems like everybody want to go for self and dont wanna respect boundary telling you all those lies oh oohjust to get on your side side but i must admit there was a couple of secrets i heard inside inside but just know that i try try to always apologize apologizeand im gonna have you first always in my heart to keep you satisfied satisfied nobody wanna see us together but it dont matter no cause i got you babenobody wanna see us together but it dont matter no cause i got you babe cause we gon fight oh yes we gon fight we gonna fight believe we gon fight we gonna fight    photos                                   fight for our right to love yeah right to love yeah nobody wanna see us together but it dont matter no cause i got you got every right to want to leave wanna leave you got every right to want to go wanna goyou got every right to hit the road hit the road and never talk to me no more me no more you dont even have to call have to call or even check for me at all me at allbecause the way ive been acting lately ive been acting has been off the wall off the wall especially towards you towards you putting girls before you before youand theyve been watching everything ive been doing just to hurt you hurt you most of it just aint true aint true and they wont show you show youhow much of a queen you are to me and why i love you baby nobody wanna see us together but it dont matter no cause i got you babenobody wanna see us together but it dont matter no cause i got you babe cause we gon fight oh yes we gon fight we gonna fight believe we gon fight we gonna fightfight for our right to love yeah right to love yeah nobody wanna see us together but it dont matter no cause i got you oh oh oh oh ooh oh oh cause i got you babe oh oh oh oh ooh oh oh cause i got you babeoh oh oh oh oh oh cause i got you babe oh oh oh oh oh oh cause i got you babe nobody wanna see us together but it dont matter no cause i got you babenobody wanna see us together but it dont matter no cause i got you babe cause we gon fight oh yes we gon fight we gonna fight believe we gon fight we gonna fight fight for our right to love yeah right to love yeah nobody wanna see us together but it dont matter no cause i got you nobody wanna see us together but it dont matter no cause i got you babe nobody wanna see us together but it dont matter no cause i got you babe cause we gon fight oh yes we gon fight we gonna fight believe we gon fight we gonna fight fight for our right to love yeah right to love yeah nobody wanna see us together but it dont matter no cause i got you cause i got you babe cause i got you babe         ",1
"12","girlfriend","avril lavigne","2007","  hey hey you you i dont like your girlfriend no way no way i think you need a new one hey hey you you i could be your girlfriendhey hey you you i know that you like me no way no way you know its not a secret hey hey you you i want to be your girlfriend   related           songs you love if you love nerds       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           youre so fine i want you mine youre so delicious i think about you all the time youre so addictive dont you know what i can do to make you feel all right dont pretend i think you know im damn precious and hell yeah im the mother fucking princess i can tell you like me too and you know im right shes like so whatever you can do so much betteri think we should get together now and thats what everyones talking about hey hey you you i dont like your girlfriend no way no way i think you need a new one    photos                                   hey hey you you i could be your girlfriend hey hey you you i know that you like me no way no way you know its not a secrethey hey you you i want to be your girlfriend i can see the way i see the way you look at me and even when you look away i know you think of me i know you talk about me all the time again and again and again and again and again so come over here and tell me what i wanna hear or better yet make your girlfriend disappear i dont wanna hear you say her name ever again and again and again and againbecause shes like so whatever you can do so much betteri think we should get together now and thats what everyones talking about hey hey you you i dont like your girlfriend no way no way i think you need a new onehey hey you you i could be your girlfriend hey hey you you i know that you like me no way no way you know its not a secrethey hey you you i want to be your girlfriend in a second youll be wrapped around my finger cause i can cause i can do it bettertheres no other so whens it gonna sink in shes so stupid what the hell were you thinking in a second youll be wrapped around my finger cause i can cause i can do it bettertheres no other so whens it gonna sink in shes so stupid what the hell were you thinking hey hey you you i dont like your girlfriend no way no way i think you need a new onehey hey you you i could be your girlfriend hey hey you you i know that you like me no way no way you know its not a secret hey hey you you i want to be your girlfriendhey hey you you i dont like your girlfriend no way no way i think you need a new one hey hey you you i could be your girlfriend hey hey you you i know that you like me no way no way you know its not a secret hey hey you you i want to be your girlfriend hey hey         ",1
"13","makes me wonder","maroon 5","2007","  i wake up with bloodshot eyes struggled to memorize the way it felt between your thighs pleasure that made you cryfeels so good to be bad not worth the aftermath after that after that try to get you backi still dont have a reason and you dont have the time and it really makes me wonder if i ever gave a fuck about yougive me something to believe in cause i dont believe in you anymore anymore i wonder if it even makes a difference to try yeah so this is goodbye   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           god damn my spinning head decisions that made my bed now i must lay in it and deal with things i left unsaidi want to dive into you what youre going through i get behind make your move forget about the truthi still dont have the reason and you dont have the time and it really makes me wonder if i ever gave a fuck about yougive me something to believe in cause i dont believe in you anymore anymore i wonder if it even makes a difference it even makes a difference to try yeah    photos                                   and you told me how youre feeling but i dont believe its true anymore anymore i wonder if it even makes a difference to cry although so this is goodbyeive been here before one day ill wake up and it wont hurt anymore you caught me in a lie i have no alibi the words you say dont have a meaningcause i still dont have a reason and you dont have the time and it really makes me wonder if i ever gave a fuck about you and i and so this is goodbyegive me something to believe in cause i dont believe in you anymore anymore i wonder if it even makes a difference it even makes a difference to try yeah and you told me how youre feeling but i dont believe its true anymore anymore i wonder if it even makes a difference to cry so this is goodbye so this is goodbye yeah so this is goodbye yeah so this is goodbye         ",1
"14","party like a rockstar","shop boyz","2007","  yyyyeah yyyyeah yyyyeah yyyyeah ttttotally dude party like a rock party like a rockstar party like a rockparty like a rockstar party like a rock party like a rockstar party like a rockstar ttttotally dude im on a money making mission but i party like a rockstar flyin down 20 lookin good in my hot car   related           11 delicious misheard lyrics about food       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           you know them hoes be at my show worried bout where my chain go i uh rubba in ma pants but these hoes wont let my thang go i uwa like i uwa cause you know them hoes be trying us hoe dont you know i fuck with fine diamondsthat look like pamela they fine and they hot bra when im in the spot bra i party like a rockstaaarrr party like a rockstar do it with the black and the white    photos                                   like a cop car whoop whoop whoop wha whoop me and my band man on the yacht with marylin manson getting a tan man uuwaaa cool you know me with a skull belt and wallet chainshop boys rockstars yeah we bout to change the game change the game uh oh they know that im a star i make it rain from the center of my guitar as soon as i came out the womb my momma knew a star was bornnow im on the golf course trippin with the osbournes i seen the show with travis barker rockstar mentality im jumping in the crowd just to see if they would carry me white bitches wanna marry me they see me they just might panic my ice make em go down quick like the titanic yeah im with the shop boys you know what we do im surfin screamin kowabonga totally dude         ",1
"15","smack that","akon featuring eminem","2007","  shady konvict upfront akon slim shady i see the one cause she be that lady heyi feel you creeping up i can see it from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like ta bo and possibly bend you over look back and watch mesmack that all on the floor smack that give me some more smack that til you get soresmack that oh ooh smack that all on the floor smack that give me some more smack that til you get soresmack that oh ooh   related           songs you love if you love nerds       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           upfront style ready to attack now pull in the parking lot slow with the lac downkonvicts got the whole thing packed now step in the club the wardobe intact now i feel it don and crack now ooh i see it dont let back nowima call her then i put the mack down money no problem pocket full of that now i feel you creeping up i can see it from my shadow wanna jump up in my lamborghini gallardomaybe go to my place and just kick it like tae bo and possibly bend you over look back and watch mesmack that all on the floorsmack that give me some more smack that til you get sore smack that oh ooh smack that all on the floor    photos                                   smack that give me some more smack that til you get sore smack that oh oohoh looks like another club bangerthey better hang on when they throw this thing on get a lil drink on they gonna flip for this akon you can bank on itpedicure manicure kittycat claws the way she climbs up and down them poles looking like one of them puttycat dolls trying to hold my back through my drawerssteps upstage didnt think i saw creeps up behind me and shes like youre im like i know lets cut to the chase no time to waste back to my place plus from the club to the crib its like a mile awayor more like a palace shall i say and plus i got pal if your gal is game in fact hes the one singing the song thats playing akoni feel you creeping up i can see it from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like tae bo and possibly bend you over look back and watch mesmack that all on the floor smack that give me some more smack that til you get soresmack that oh ooh smack that all on the floor smack that give me some more smack that til you get soresmack that oh ooheminems rollin d an em rollinboo and ol marvelous an them rollin women just holdinbig booty rollin soon i be all in em an throwin d hittin no less than three block wheel style like whee girl i can tell you want me cause lately i feel you creeping up i can see it from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like tae bo and possibly bend you over look back and watch mesmack that all on the floor smack that give me some more smack that til you get sore smack that oh ooh smack that all on the floor smack that give me some more smack that til you get sore smack that oh ooh         ",1
"16","this is why im hot","mims","2007","  this is why im hot this is why im hot yeah this is why this is why this is why im hot uh this is why im hot this is why im hot ooh this is why this is why this is why im hot im hot coz im fly you aint coz youre not this is why this is why   related           songs you love if you love nerds       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           this is why im hot im hot coz im fly you aint coz youre not mims this is why this is why this is why im hot this is why im hot now ive gotta rap i can sell a mill say you nothing on the track i represent new york i got it on my back nigga say that we lost it so im ma bring it back i love the dirty dirty coz niggas show me love the ladies start to bounce as soon as i hit the club but in the midwest they love to take it slow so when i hit the h i watch you get it on the floor and if you needed hyphy i take it to the bay frisco to sac town they do it eryday coppin a hollywood soon as i hit la im in that low low i do it the cali way and when i hit the chi people say that im fly they like the way i dress they like my attire they love how i move crowds from side to side they ask me how i do it and simply i reply this is why im hot this is why im hot yeah this is why this is why this is why im hot uh this is why im hot this is why im hot ooh this is why this is why this is why im hot im hot coz im fly you aint coz youre not this is why this is why this is why im hot im hot coz im fly you aint coz youre not mims this is why this is why this is why im hot this is why im hot catch me on the block every other day another bitch another drop 16 bars 24 pop 44 songs nigga gimme what you got im in there driving cars push them off the lot im into shutting stores down just so i can shop if you need a bird i can get it chopped tell me what you need you know i get em by the flock i call my hommie black meet me on the ave i hit wash heights we into big spinners see my pimping never dragged find me with different women that you niggas never had for those who say they know me know im focused on my cream playa you come between youd better focus on the beam i keep it so feen the way you see me lean and when i say im hot my nigga this is what i mean this is why im hot this is why im hot yeah this is why this is why this is why im hot uh this is why im hot this is why im hot ooh this is why this is why this is why im hot im hot coz im fly you aint coz youre not this is why this is why this is why im hot im hot coz im fly you aint coz youre not mims this is why this is why this is why im hot this is why im hot shorty see the drop asked me what i paid and i say yeah i paid a quap and then i hit the switch that take away the top so chicks around the way they call me cream of the crop they hop in the car i tell em all about we hit the studio they say they like how i record i gave you black train and i did you wrong so every time i see them they tell me thats their song they say im the bomb they love the way the charm hanging from the neck and compliments the arm which compliments the ear then comes the gear so when i hit the room the shorties stop and stare niggas start to hate rearrange their face but little do they know i keep them things by waist side i reply nobody gotta die similar to lil wiz coz i got the fire this is why im hot this is why im hot yeah this is why this is why this is why im hot uh this is why im hot this is why im hot ooh this is why this is why this is why im hot im hot coz im fly you aint coz youre not this is why this is why this is why im hot im hot coz im fly you aint coz youre not mims this is why this is why this is why im hot    check out      watch taylor swifts new music video for ready for it       match these taylor swift songs to her exboyfriends       listen to selena gomez new song wolves       27 best ever songs from movie soundtracks                     ",1
"17","its not over","daughtry","2007","  i was blown away what could i say it all seemed to make sense youve taken away everything and i cant deal with that i try to see the good in life but good things in life are hard to find well blow it away blow it away can we make this something good well ill try to do it right this time aroundlets start over ill try to do it right this time around its not over cause a part of me is dead and in the ground this love is killing me but youre the only one its not over   related           can you guess the song by the emojis       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           taken all i could take and i cannot wait were wasting too much time being strong holding on cant let it bring us down my life with you means everything so i wont give up that easily ill blow it away blow it away can we make this something good cause its all misunderstood well ill try to do it right this time aroundlets start over ill try to do it right this time around its not over cause a part of me is dead and in the ground this love is killing me but youre the only one its not over    photos                                   we cant let this get away let it out let it out dont get caught up in yourself let it outlets start over ill try to do it right this time around its not over cause a part of me is dead and in the ground this love is killing me but youre the only one its not overlets start over its not over yeah this love is killing me but youre the only one its not over          ",1
"18","the way i are","timbaland featuring keri hilson","2007","  yeahyeah remember the time baby yeah i aint got no money i aint got no car to take you on a datei cant even buy you flowers but together wed be the perfect soulmates talk to me girl oh baby its alright now you aint gotta flaunt for me    related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           if we go and touch you can still touch my love its free we can work without the perks just you and me work it out til we get it right baby if you strip you can get a tip cause i like you just the way you are im about to strip and im well equipped can you handle me the way i are i dont need the gs or the car keysboy i like you just the way you are let me see ya strip you can get a tipcause i like i like i like i aint got no visa i aint got no red american expresswe cant go nowhere exotic it dont matter cause im the one that loves you best talk to me girl oh baby its alright now you aint gotta flaunt for me    photos                                   if we go and touch you can still touch my love its free we can work without the perks just you and me work it out til we get it right baby if you strip you can get a tip cause i like you just the way you are im about to strip and im well equipped can you handle me the way i are i dont need the gs or the car keys boy i like you just the way you are let me see ya strip you can get a tip cause i like you just the way you are baby girl i dont got a huge ol house i rent a room in a house listen baby girl i aint got a motorboat but i can float ya boat so listen baby girl once you get a dose of doe you gon want some mo so listen baby girl when im naked i want you there want you there yeah          ",1
"19","fergalicious","fergie featuring william","2007","  listen up yall cause this is it the beat that im bangin is deliciousfergalicious definition make them boys go loco they want my treasure so they get their pleasures from my photo you could see me you cant squeeze me i aint easy i aint sleazy i got reasons why i tease em boys just come and go like seasons fergalicious so delicious but i aint promiscuous and if you was suspicious all that shit is fictitious i blow kisses mwah that puts them boys on rock rock and they be lining down the block just to watch what i got four tres two uno   related           26 best breakup songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           so delicious its hot hot so delicious i put them boys on rock rock so delicious they wanna taste of what i got im fergalicious ttttttasty tastyfergalicious def fergalicious def fergalicious def fergalicious definition make them boys go crazy they always claim they know me comin to me callin me stacy hey stacy im the f to the e r g the i the e and cant no other lady put it down like me im fergalicious so delicious my body stay vicious i be up in the gym just working on my fitness hes my witness oh wee i put yo boy on rock rock and he be lining down the block just to watch what i got four tres two uno    photos                                   so delicious its hot hot so delicious i put them boys on rock rock so delicious they wanna taste of what i got im fergalicious hold hold hold up check it outbaby baby baby if you really want me honey get some patience maybe then youll get a taste ill be tasty tasty ill be laced with lacy its so tasty tasty itll make you crazyt to the a to the s t y girl you tasty t to the a to the s t e y girl you tasty d to the e to the l i c i o u s d to the e to the to the to the hit it fergieall the time i turn around brothas gather round always looking at me up and down looking at my uh i just wanna say it now i aint tryin to round up drama little mama i dont wanna take your man and i know im comin off just a little bit conceited and i keep on repeating how the boys wanna eat it but im tryin to tell that i cant be treated like clientele cause they say she delicious so delicious but i aint promiscuous and if you was suspicious all that shit is fictitious i blow kisses mwah that puts them boys on rock rock and they be lining down the block just to watch what i got got got got four tres two unomy body stay vicious i be up in the gym just working on my fitness hes my witness oh wee i put yo boy on rock rock and he be lining down the block just to watch what i got four tres two unoits so delicious aye aye aye aye so delicious aye aye aye aye so delicious aye aye aye aye im fergalicious ttttttasty tastyits so delicious aye aye aye aye so delicious aye aye aye aye so delicious aye aye aye aye im fergalicious ttttttasty tastyt to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the to the to the to the four tres two uno to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the to the to the to the to the four tres two uno t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the to the to the to the four tres two uno to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the to the to the to the to the         ",1
"20","crank that soulja boy","soulja boy tell em","2007","soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy soulja boy off in this hoe watch me lean and watch me rock super man dat hoe then watch me crank dat robocop super fresh now watch me jock jocking on them haterz man when i do dat soulja boy i lean to the left and crank dat thang now you im jocking on yo bitch ass and if we get the fightin then im cocking on your bitch you catch me at yo local party yes i crank it everyday haterz get mad cuz i got me some bathin apes soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy im bouncin on my toe watch me super soak dat hoe ima pass it to arab then he gon pass it to the low low haterz wanna be me soulja boy im the man they be lookin at my neck sayin its the rubberband man man watch me do it watch me do it dance dance let get to it let get to it nope you cant do it like me hoe so dont do it like me folk i see you tryna do it like me man that shit was ugly chorus soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy im to freah off in this hoe watch me crank it watch me roll watch me crank that roosavelt and super soak that hoe and super soak that hoe and super soak that hoe and super soak that hoe and super soak that hoe im to fresh up in this bitch watch me shuffle watch me jig watch me crank my shoulder work super man do it super man do it super man do it soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy soulja boy off in this hoe watch me crank it watch me roll watch me crank dat soulja boy then super man dat hoe now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy now watch me do crank dat soulja boy",2
